City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hasaki,75,JP,1563849523,100,35.73,140.83,75.2,6.93
Kabinda,8,CD,1563849524,41,-6.14,24.49,61.06,2.57
Port Hardy,40,CA,1563849524,60,50.7,-127.42,69.8,12.75
Jinchang,94,CN,1563849525,35,38.52,102.19,69.16,11.79
Byron Bay,0,AU,1563849525,49,-28.65,153.62,80.01,6.93
Livenka,0,RU,1563849526,76,50.74,40.23,63.22,6.08
Port Hedland,0,AU,1563849338,16,-20.31,118.58,77.0,23.04
Kuytun,100,RU,1563849527,70,54.34,101.51,68.98,2.95
Rosario,100,UY,1563849528,95,-34.31,-57.35,46.0,1.01
Champerico,90,MX,1563849529,78,16.38,-93.6,75.2,2.21
Tornio,0,FI,1563849529,93,61.12,27.27,59.0,3.36
Praia da Vitoria,40,PT,1563849530,88,38.73,-27.07,70.0,14.88
Coihaique,90,CL,1563849395,99,-45.58,-72.07,41.0,4.7
Ahome,75,MX,1563849531,58,25.92,-109.18,88.0,8.05
Taoudenni,11,ML,1563849531,16,22.68,-3.98,90.76,3.94
Manalongon,40,PH,1563849532,70,9.22,122.89,87.8,9.17
Ostrovnoy,96,RU,1563849533,61,68.05,39.51,53.32,4.94
Luanda,100,AO,1563849533,100,-8.83,13.24,68.0,4.7
Ipixuna,20,BR,1563849534,88,-1.76,-48.8,78.8,6.93
Aksu,90,KZ,1563849535,100,52.04,76.93,60.8,4.47
Nara,75,JP,1563849535,79,34.68,135.8,88.0,9.17
Solwezi,0,ZM,1563849536,92,-12.18,26.4,45.94,6.02
Hambantota,20,LK,1563849536,100,6.12,81.12,77.0,5.82
Batagay,4,RU,1563849537,28,67.65,134.64,65.2,6.6
East London,0,ZA,1563849051,34,-33.02,27.91,57.46,1.86
Imeni Poliny Osipenko,94,RU,1563849538,70,52.42,136.49,62.5,12.03
Agadez,1,NE,1563849538,62,16.97,7.99,84.2,4.7
Zaysan,76,KZ,1563849539,35,47.47,84.87,78.88,4.43
Nanortalik,100,GL,1563849451,97,60.14,-45.24,39.1,3.06
Leningradskiy,82,RU,1563849540,88,69.38,178.42,38.92,12.57
Goderich,0,CA,1563849540,60,43.74,-81.71,66.99,1.01
Yar-Sale,22,RU,1563849542,66,66.83,70.83,57.1,13.65
Zemio,100,CF,1563849543,91,5.02,25.13,67.72,2.8
Hualmay,61,PE,1563849543,86,-11.1,-77.61,61.6,19.62
Verkhnevilyuysk,0,RU,1563849544,30,63.45,120.31,73.84,4.52
Lompoc,90,US,1563849201,87,34.64,-120.46,69.01,5.82
Pisco,90,PE,1563849545,82,-13.71,-76.2,62.6,6.93
Elizabeth City,40,US,1563849545,69,36.3,-76.22,86.0,4.7
Norman Wells,75,CA,1563849546,53,65.28,-126.83,73.4,6.93
Durban,66,CA,1563849546,83,51.93,-101.44,64.3,7.52
Faanui,99,PF,1563849547,81,-16.48,-151.75,79.42,16.87
Kudahuvadhoo,100,MV,1563849548,73,2.67,72.89,83.92,11.95
Ahipara,80,NZ,1563849548,90,-35.17,173.16,64.99,19.75
Lorengau,63,PG,1563849549,74,-2.02,147.27,83.56,7.31
Weimar,0,DE,1563849550,82,50.98,11.33,64.99,9.17
Narsaq,95,GL,1563849550,70,60.91,-46.05,46.4,4.7
Sorong,92,ID,1563849551,86,-0.86,131.25,78.16,11.36
Alofi,20,NU,1563849551,53,-19.06,-169.92,77.0,10.29
Ouahigouya,100,BF,1563849552,59,13.58,-2.42,82.3,12.84
Monze,0,ZM,1563849553,90,-16.28,27.48,45.4,2.51
Navalagunda,96,IN,1563849553,87,15.56,75.35,72.22,19.93
Oum Hadjer,100,TD,1563849554,74,13.3,19.7,79.78,7.34
Linjiang,97,CN,1563849554,71,41.81,126.91,77.44,5.46
Nicolas Bravo,90,MX,1563849555,68,24.39,-104.74,64.99,6.93
Tokur,100,RU,1563849556,98,53.13,132.9,47.2,11.79
Wanning,17,AT,1563849556,93,48.64,13.53,66.0,3.36
Ust-Omchug,99,RU,1563849557,38,61.13,149.63,46.12,12.33
Wagar,98,US,1563849557,90,31.44,-87.99,79.0,4.41
Ulaanbaatar,75,MN,1563849558,82,47.92,106.92,60.8,8.95
Deputatskiy,100,RU,1563849558,38,69.3,139.9,55.3,7.16
Iqaluit,20,CA,1563849194,93,63.75,-68.52,37.4,3.36
Russell,1,US,1563849560,49,38.9,-98.86,73.4,8.05
Pringsewu,1,ID,1563849560,44,-5.36,104.98,83.02,3.06
Dalhousie,1,CA,1563849561,87,48.06,-66.37,57.2,2.24
Sal Rei,75,CV,1563849561,78,16.18,-22.92,75.2,14.99
Yulara,0,AU,1563849562,15,-25.24,130.99,69.8,10.29
Bud,100,NO,1563849562,87,62.91,6.91,60.8,4.7
Dhaulpur,40,IN,1563849563,100,26.7,77.9,86.0,1.12
Pacific Grove,1,US,1563849564,52,36.62,-121.92,75.99,14.99
Hue,75,VN,1563849564,41,16.47,107.58,96.8,11.41
Fallon,1,US,1563849565,39,46.84,-105.12,78.8,12.75
Necochea,0,AR,1563849566,96,-38.55,-58.74,36.0,4.65
Manakara,87,MG,1563849567,86,-22.14,48.01,60.88,3.4
Dangriga,20,BZ,1563849567,83,16.97,-88.23,82.4,4.7
Harindanga,40,IN,1563849568,84,22.04,88.32,86.0,10.29
Gelemso,100,ET,1563849568,70,8.81,40.52,65.74,9.33
Walvis Bay,0,NA,1563849569,96,-22.95,14.51,49.9,1.92
Lethem,45,GY,1563849569,83,3.38,-59.8,76.18,7.29
Sao Joao da Barra,2,BR,1563849342,96,-21.64,-41.05,63.94,1.68
Wittenberge,78,DE,1563849570,92,53.0,11.75,64.99,1.99
Sao Felix do Xingu,0,BR,1563849533,66,-6.64,-51.99,71.32,3.15
Bogotol,0,RU,1563849571,69,56.21,89.53,60.34,4.27
Luderitz,0,NA,1563849572,90,-26.65,15.16,54.58,11.92
At-Bashi,0,KG,1563849573,96,41.17,75.81,72.0,3.24
Takoradi,100,GH,1563849573,91,4.89,-1.75,73.84,5.91
Lavrentiya,97,RU,1563849574,79,65.58,-170.99,48.64,15.93
Qostanay,0,KZ,1563849574,77,53.17,63.58,62.6,4.47
Montecristo,100,CO,1563849575,97,8.3,-74.47,76.36,4.74
Caravelas,1,BR,1563849576,80,-17.73,-39.27,72.76,11.39
Camabatela,90,AO,1563849576,94,-8.19,15.37,60.88,1.79
Saint-Georges,100,CA,1563849577,100,46.12,-70.67,59.0,3.47
Aqtobe,0,KZ,1563849562,60,50.28,57.21,68.0,13.42
Evensk,100,RU,1563849578,38,61.92,159.24,53.5,7.81
Varbilau,40,RO,1563849578,100,45.18,25.95,66.2,3.36
Beringovskiy,100,RU,1563849579,66,63.05,179.32,52.6,1.7
Fortuna,1,US,1563849580,68,40.6,-124.16,64.99,11.41
Sitka,0,US,1563849580,60,37.17,-99.65,73.0,4.0
Kasama,73,ZM,1563849581,97,-10.21,31.19,44.86,2.71
Jishui,69,CN,1563849582,68,27.23,115.13,87.52,13.27
Arman,0,RU,1563849576,34,59.7,150.17,54.94,10.94
Bocas del Toro,100,PA,1563849583,93,9.33,-82.25,53.01,6.44
Brae,100,GB,1563849584,100,60.4,-1.35,59.0,11.41
Lebanon,90,US,1563849538,88,40.34,-76.42,75.2,12.75
Lata,5,IN,1563849195,75,30.78,78.62,50.98,5.19
Wattegama,96,LK,1563849585,77,7.35,80.68,77.26,6.55
Hennef,0,DE,1563849586,87,50.78,7.28,69.01,2.24
Ilulissat,5,GL,1563849586,66,69.22,-51.1,48.2,10.27
Shimoda,75,JP,1563849587,100,34.7,138.93,86.0,11.41
Gemena,100,CD,1563849588,90,3.25,19.78,69.7,2.28
Verkhoyansk,0,RU,1563849588,28,67.55,133.39,65.56,8.55
Kalengwa,0,ZM,1563849589,89,-13.47,25.0,45.58,4.47
Gouyave,20,GD,1563849589,88,12.16,-61.73,80.6,11.41
Shingu,75,JP,1563849590,88,33.72,135.99,80.6,6.93
Poum,20,MK,1563849579,77,41.28,20.71,62.6,3.36
Ferrol,2,ES,1563849591,100,43.48,-8.23,69.01,2.24
Panara,27,LT,1563849591,98,54.11,24.11,51.88,6.71
Dzaoudzi,40,YT,1563849592,73,-12.79,45.27,75.2,19.46
Mpanda,89,BI,1563849593,70,-3.17,29.4,57.82,2.89
Padang,67,ID,1563849593,67,-0.92,100.36,82.3,4.63
Suez,0,EG,1563849594,82,29.97,32.54,72.22,9.26
Port Victoria,73,AU,1563849594,75,-34.5,137.49,57.28,23.29
Yoichi,75,JP,1563849595,73,43.19,140.77,70.0,18.34
Yining,0,CN,1563849595,57,29.04,114.56,92.38,4.45
Shenjiamen,50,CN,1563849596,79,29.96,122.3,83.38,17.34
Acapulco,75,MX,1563849597,84,16.86,-99.88,86.0,10.29
La Palma,100,CO,1563849597,91,5.36,-74.39,69.88,2.84
Sao Filipe,53,CV,1563849598,87,14.9,-24.5,75.46,15.05
Kyabram,85,AU,1563849598,59,-36.31,145.05,59.0,15.01
Khuzhir,99,RU,1563849599,48,53.19,107.35,75.46,2.82
Samagaltay,9,RU,1563849600,40,50.6,95.0,72.22,1.92
Cherskiy,100,RU,1563849348,95,68.75,161.3,37.3,10.09
Douglas,75,US,1563849602,49,58.28,-134.39,75.2,4.7
Nargana,100,PA,1563849602,82,9.44,-78.59,80.32,5.48
Vanavara,0,RU,1563849603,38,60.35,102.28,74.74,7.87
Uglegorsk,95,RU,1563849604,82,49.08,142.06,67.36,16.49
Port-Gentil,83,GA,1563849604,85,-0.72,8.78,75.46,17.58
Mata,22,PT,1563849605,84,40.68,-7.46,66.99,1.99
Baracoa,59,CU,1563849606,80,20.35,-74.5,81.94,12.35
Ojinaga,1,US,1563849607,21,29.56,-104.41,93.2,14.99
Longyearbyen,75,NO,1563849570,81,78.22,15.63,44.6,1.12
Hun,0,BE,1563849608,77,50.34,4.87,68.0,2.24
Hit,0,IQ,1563849608,23,33.64,42.83,83.02,14.47
Souillac,0,FR,1563849331,64,45.6,-0.6,78.01,5.82
Talnakh,75,RU,1563849350,87,69.49,88.39,55.4,17.9
Whitehorse,75,CA,1563849604,87,60.72,-135.06,60.01,2.24
Uppsala,45,SE,1563849610,93,59.86,17.64,60.8,3.36
Celestun,0,MX,1563849611,79,20.87,-90.4,82.84,18.84
Orange,1,US,1563849490,68,33.79,-117.85,86.0,8.05
Roebourne,70,AU,1563849613,15,-20.77,117.15,75.1,12.53
Chapais,90,CA,1563849613,82,49.78,-74.86,57.2,6.93
Kamskiye Polyany,75,RU,1563849614,93,55.43,51.42,57.2,8.95
Barreirinhas,0,BR,1563849615,95,-2.75,-42.83,72.22,3.47
Port Macquarie,0,AU,1563849490,25,-31.43,152.91,78.01,9.17
Morki,4,RU,1563849616,93,56.43,49.0,54.76,6.31
Ola,1,RU,1563849616,57,59.58,151.3,52.96,5.84
Kalmunai,79,LK,1563849617,57,7.42,81.82,84.1,6.06
Mossendjo,17,CG,1563849617,98,-2.95,12.72,63.76,1.21
Aljezur,0,PT,1563849618,70,37.31,-8.8,75.99,5.99
Prince Rupert,1,CA,1563849618,77,54.32,-130.32,64.4,5.82
Todos Santos,75,MX,1563849619,74,23.45,-110.23,82.99,13.87
Ayagoz,69,KZ,1563849619,60,47.96,80.43,69.88,13.24
Oriximina,0,BR,1563849620,71,-1.77,-55.87,79.96,5.95
Isangel,75,VU,1563849621,60,-19.55,169.27,75.2,11.41
Torbay,20,CA,1563849621,93,47.66,-52.73,57.99,4.7
Vestnes,100,NO,1563849622,93,62.63,7.09,60.8,10.29
Udachnyy,0,RU,1563849623,29,66.42,112.4,77.0,4.47
Pundaguitan,100,PH,1563849623,70,6.37,126.17,81.58,7.4
